,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,2062,Z14 - Lote C,1,241,"30,5",1100,"604,9453581","24,9","1,4","0,83","7,64",2025-06-20,2025-07-11
,2065,Z10 - Lote A,2,70,"62,0",1095,"639,9070586","35,2","2,0","0,93","9,59",2025-06-20,2025-07-11
,2067,Z19 - Lote D,1,275,"21,0",1093,"603,3445978","21,7","1,1","0,80","6,75",2025-06-20,2025-07-11
,2071,Z19 - Lote D,1,346,"21,0",1085,"601,4115744","21,6","1,1","0,80","6,75",2025-06-20,2025-07-11
,2072,Z14 - Lote C,2,46,"49,0",1085,"636,1146774","30,6","1,8","0,91","9,05",2025-06-20,2025-07-11
,2073,Z13 - Lote N,1,299,"34,7",1084,"602,5137808","26,2","1,5","0,85","7,99",2025-06-20,2025-07-11
,2077,Z14 - Lote C,1,293,"38,4",1080,"602,7015472","27,5","1,6","0,86","8,25",2025-06-20,2025-07-11
,2083,Z19 - Lote D,1,321,"29,2",1074,"601,9238407","24,4","1,3","0,83","7,55",2025-05-25,2025-07-11
,2082,Z13 - Lote N,1,365,"32,7",1075,"601,1116618","25,5","1,4","0,84","7,84",2025-05-25,2025-07-11
,2085,Z13 - Lote N,1,223,"41,8",1069,"606,036034","28,7","1,6","0,87","8,46",2025-06-20,2025-07-11
,2086,Z14 - Lote C,1,299,"35,5",1067,"602,5137802","26,5","1,5","0,85","8,05",2025-05-25,2025-07-11
,2089,Z13 - Lote N,2,58,"38,0",1066,"638,8031317","27,0","1,6","0,88","8,39",2025-06-20,2025-07-11
,2091,Z13 - Lote N,1,340,"41,0",1064,"601,5212309","28,3","1,6","0,87","8,43",2025-06-20,2025-07-11
,2092,Z14 - Lote C,2,52,"45,0",1063,"637,6864895","29,1","1,7","0,91","8,89",2025-06-20,2025-07-11
,2094,Z19 - Lote D,1,325,"15,3",1055,"601,831561","19,7","0,9","0,77","6,07",2025-05-25,2025-07-11
,2096,Z19 - Lote D,1,363,"16,3",1053,"601,1401158","20,0","0,9","0,77","6,20",2025-05-25,2025-07-11
,2097,Z11 - Lote B,1,330,"41,4",1052,"601,7220455","28,4","1,6","0,87","8,45",2025-05-25,2025-07-11
,2100,Z14 - Lote C,2,29,"31,5",1048,"628,5603785","23,7","1,5","0,90","8,28",2025-06-20,2025-07-11
,2101,Z13 - Lote N,1,258,"41,8",1044,"604,0758241","28,6","1,6","0,87","8,46",2025-06-20,2025-07-11
,2103,Z20 - Lote E,2,41,"42,0",1030,"634,4082585","28,1","1,7","0,90","8,73",2025-06-20,2025-07-11
,2105,Z19 - Lote D,1,364,"21,3",1028,"601,1258009","21,7","1,1","0,80","6,79",2025-05-25,2025-07-11
,2108,Z13 - Lote N,1,296,"48,0",1023,"602,6061038","30,7","1,7","0,88","8,83",2025-06-20,2025-07-11
,2109,Z13 - Lote N,1,338,"37,0",1023,"601,5595348","27,0","1,5","0,85","8,16",2025-05-25,2025-07-11
,2110,Z19 - Lote D,1,302,"27,0",1023,"602,4244775","23,6","1,3","0,82","7,35",2025-06-20,2025-07-11
,2112,Z13 - Lote N,1,264,"38,8",1015,"603,8028624","27,6","1,6","0,86","8,27",2025-06-30,2025-07-11
,2115,Z13 - Lote N,1,343,"16,0",1012,"601,465429","19,9","0,9","0,77","6,16",2025-06-20,2025-07-11
,2119,Z14 - Lote C,1,322,"17,0",1010,"601,9003668","20,3","0,9","0,78","6,28",2025-05-25,2025-07-11
,2120,Z13 - Lote N,1,277,"38,8",1008,"603,266836","27,6","1,6","0,86","8,27",2025-06-20,2025-07-11
,2121,Z13 - Lote N,1,240,"47,9",1007,"605,0011847","30,7","1,7","0,88","8,82",2025-06-20,2025-07-11
,2122,Z13 - Lote N,1,238,"49,7",1002,"605,1144799","31,3","1,8","0,89","8,91",2025-06-20,2025-07-11
,2123,Z14 - Lote C,1,326,"29,6",1000,"601,8091432","24,5","1,3","0,83","7,58",2025-04-28,2025-07-11
,2126,Z14 - Lote C,1,321,"18,5",998,"601,9238344","20,8","1,0","0,79","6,47",2025-06-20,2025-07-11
